id,data,prodotto,categoria,rating,titolo,testo
33,2024-08-01,Scarpe da running AeroStep,Sport e tempo libero,5,Top!,"Sono entusiasta. Confezione ordinata e sostenibile. Semplicissimo da configurare e usare. Funziona alla grande, prestazioni sopra le aspettative. Cinque stelle meritate."
34,2024-12-25,Smartwatch FitPro 2,Elettronica,3,Si poteva fare meglio,"Né carne né pesce. Fa esattamente quello che promette, molto efficiente. Durata della batteria molto inferiore a quanto dichiarato. Dipende dalle vostre esigenze."
35,2025-11-04,Smartwatch FitPro 2,Elettronica,4,Soddisfatto,"Nel complesso sono soddisfatto. Semplicissimo da configurare e usare. Plastica fragile, non lo ricomprerei. La batteria dura tantissimo, anche un paio di giorni. Promosso, con piccole riserve."
36,2025-02-10,Scarpe da running AeroStep,Sport e tempo libero,3,Insomma...,"Prodotto con luci e ombre. Ottimo rapporto qualità-prezzo. Assistenza clienti pessima, non rispondono alle email. Così così."
37,2025-03-17,Macchina per il pane HomeBaker,Casa,5,Top!,"Acquisto azzeccato. Prestazioni ottime anche sotto sforzo. Confezione ordinata e sostenibile. Bel design, fa la sua figura. Cinque stelle meritate."
38,2025-05-31,Frullatore ad alta velocità VitaBlend,Casa,2,Poco convincente,"Mi aspettavo di più. Intuitivo fin da subito, nessun manuale necessario. Non funziona bene come pubblicizzato. Ho aspettato due settimane per la consegna, troppo. Deludente."
39,2025-03-03,Zaino da trekking TrekLite 30L,Sport e tempo libero,2,Poco convincente,"Mi aspettavo di più. Ho chiesto un rimborso ma il supporto è stato inutile. Consegna puntuale e nei tempi previsti. Prestazioni deludenti, molto al di sotto delle aspettative. Probabilmente non lo ricomprerei."
40,2024-10-15,Monitor UltraView 27 pollici,Elettronica,5,Eccellente,"Acquisto azzeccato. Intuitivo fin da subito, nessun manuale necessario. Costruzione curata nei dettagli. Ottimo rapporto qualità-prezzo. Cinque stelle meritate."
41,2025-06-17,Cuffie Bluetooth XSound Pro,Elettronica,5,Promosso a pieni voti,"Sono entusiasta. Consegna puntuale e nei tempi previsti. Bel design, fa la sua figura. Ho contattato il supporto e hanno risolto subito. Consigliatissimo!"
42,2025-05-02,Smartwatch FitPro 2,Elettronica,3,Alti e bassi,"Esperienza nella media. Prezzo onesto per quello che offre. Plastica fragile, non lo ricomprerei. Valutate bene prima di acquistare."
43,2024-12-05,Monitor UltraView 27 pollici,Elettronica,5,Lo adoro,"Sono entusiasta. Confezione ordinata e sostenibile. Funziona alla grande, prestazioni sopra le aspettative. Materiali solidi e ben rifiniti. Consigliatissimo!"
44,2025-12-04,Aspirapolvere senza filo CicloneMax,Casa,1,Da evitare,Lo sconsiglio. Si trova di meglio allo stesso prezzo. La scatola è arrivata ammaccata e mal imballata. Configurazione complicata e istruzioni poco chiare. Soldi buttati.
45,2025-11-20,Smartwatch FitPro 2,Elettronica,4,Soddisfatto,"Mi trovo bene. Prezzo onesto per quello che offre. Pacco arrivato prima del previsto, ottimo. Imballaggio insufficiente, il prodotto ballava dentro la scatola. Buon acquisto."
46,2025-07-07,Set lenzuola in cotone SoffiCotone,Casa,5,Lo adoro,"Sono entusiasta. Fa esattamente quello che promette, molto efficiente. Prezzo onesto per quello che offre. Costruzione curata nei dettagli. Lo ricomprerei senza dubbio."
47,2025-12-18,Macchina per il pane HomeBaker,Casa,5,Top!,"Sono entusiasta. Assistenza clienti gentile e rapida nel rispondere. Costruzione curata nei dettagli. Fa esattamente quello che promette, molto efficiente. Lo ricomprerei senza dubbio."
48,2025-04-05,Aspirapolvere senza filo CicloneMax,Casa,2,Poco convincente,"Mi aspettavo di più. Imballaggio insufficiente, il prodotto ballava dentro la scatola. Il colore reale è diverso da quello mostrato online. Intuitivo fin da subito, nessun manuale necessario. Deludente."
49,2025-03-10,Cuffie Bluetooth XSound Pro,Elettronica,5,Eccellente,"Prodotto fantastico! Autonomia eccellente, la ricarico raramente. In offerta è un vero affare. Semplicissimo da configurare e usare. Consigliatissimo!"
50,2025-11-03,Monitor UltraView 27 pollici,Elettronica,5,Eccellente,"Sono entusiasta. Fa esattamente quello che promette, molto efficiente. Esteticamente molto bello, design elegante. Pacco arrivato prima del previsto, ottimo. Consigliatissimo!"
51,2024-10-21,Powerbank ChargeGo 20000mAh,Elettronica,2,Deludente,"Mi aspettavo di più. Configurazione complicata e istruzioni poco chiare. Autonomia eccellente, la ricarico raramente. Prestazioni deludenti, molto al di sotto delle aspettative. Ci ripenserei due volte."
52,2025-05-07,Cuffie Bluetooth XSound Pro,Elettronica,1,Una delusione totale,"Esperienza da dimenticare. Interfaccia confusionaria, ci ho messo ore a capirlo. La scatola è arrivata ammaccata e mal imballata. La batteria si scarica in poche ore, autonomia pessima. Mai più."
53,2024-09-28,Frullatore ad alta velocità VitaBlend,Casa,2,Poco convincente,"Mi aspettavo di più. Configurazione complicata e istruzioni poco chiare. Ho aspettato due settimane per la consegna, troppo. In offerta è un vero affare. Ci ripenserei due volte."
54,2025-06-30,Cuffie Bluetooth XSound Pro,Elettronica,5,Eccellente,"Prodotto fantastico! Pacco arrivato prima del previsto, ottimo. Autonomia eccellente, la ricarico raramente. In offerta è un vero affare. Cinque stelle meritate."
55,2025-11-19,Zaino da trekking TrekLite 30L,Sport e tempo libero,2,Non ci siamo,"Un po' deluso, sinceramente. Intuitivo fin da subito, nessun manuale necessario. Esteticamente deludente, sembra diverso dalle foto. La scatola è arrivata ammaccata e mal imballata. Ci ripenserei due volte."
56,2024-10-18,Cuffie Bluetooth XSound Pro,Elettronica,3,Nella media,"Né carne né pesce. Esteticamente molto bello, design elegante. Imballaggio insufficiente, il prodotto ballava dentro la scatola. Così così."
57,2026-01-03,Tastiera meccanica KeyForge RGB,Elettronica,5,Lo adoro,"Prodotto fantastico! In offerta è un vero affare. Confezione ordinata e sostenibile. Esteticamente molto bello, design elegante. Consigliatissimo!"
58,2025-10-06,Monitor UltraView 27 pollici,Elettronica,4,Soddisfatto,"Buon prodotto. Bel design, fa la sua figura. La batteria dura tantissimo, anche un paio di giorni. Ho aspettato due settimane per la consegna, troppo. Buon acquisto."
59,2024-12-22,Scarpe da running AeroStep,Sport e tempo libero,3,Si poteva fare meglio,Prodotto con luci e ombre. Assistenza clienti gentile e rapida nel rispondere. Lento e poco reattivo nell'uso quotidiano. Dipende dalle vostre esigenze.
60,2024-07-30,Scarpe da running AeroStep,Sport e tempo libero,2,Deludente,"Mi aspettavo di più. Interfaccia confusionaria, ci ho messo ore a capirlo. Il prezzo non è giustificato dalla qualità. Prestazioni ottime anche sotto sforzo. Probabilmente non lo ricomprerei."
61,2026-01-26,Tastiera meccanica KeyForge RGB,Elettronica,2,Poco convincente,"Mi aspettavo di più. Assistenza clienti pessima, non rispondono alle email. Pacco arrivato prima del previsto, ottimo. La batteria si scarica in poche ore, autonomia pessima. Ci ripenserei due volte."
62,2025-03-20,Macchina per il pane HomeBaker,Casa,5,Top!,"Sono entusiasta. Bel design, fa la sua figura. La spedizione è stata velocissima, arrivato in un giorno. Ho contattato il supporto e hanno risolto subito. Cinque stelle meritate."
63,2025-06-06,Scarpe da running AeroStep,Sport e tempo libero,1,Sconsigliato,"Esperienza da dimenticare. Ho aspettato due settimane per la consegna, troppo. Interfaccia confusionaria, ci ho messo ore a capirlo. Prestazioni deludenti, molto al di sotto delle aspettative. Mai più."
64,2025-01-07,Set lenzuola in cotone SoffiCotone,Casa,1,Pessimo,"Lo sconsiglio. Si trova di meglio allo stesso prezzo. Assistenza clienti pessima, non rispondono alle email. Non funziona bene come pubblicizzato. Soldi buttati."
65,2025-09-24,Aspirapolvere senza filo CicloneMax,Casa,5,Eccellente,"Acquisto azzeccato. Confezione ordinata e sostenibile. Ho contattato il supporto e hanno risolto subito. Intuitivo fin da subito, nessun manuale necessario. Cinque stelle meritate."
66,2025-02-18,Set lenzuola in cotone SoffiCotone,Casa,5,Lo adoro,Prodotto fantastico! Ho contattato il supporto e hanno risolto subito. Confezione ordinata e sostenibile. Semplicissimo da configurare e usare. Cinque stelle meritate.
67,2025-08-01,Cuffie Bluetooth XSound Pro,Elettronica,4,Soddisfatto,"Nel complesso sono soddisfatto. Fa esattamente quello che promette, molto efficiente. Troppo caro per quello che offre. La batteria dura tantissimo, anche un paio di giorni. Buon acquisto."
68,2025-02-28,Zaino da trekking TrekLite 30L,Sport e tempo libero,5,Promosso a pieni voti,Prodotto fantastico! Materiali solidi e ben rifiniti. Confezione ordinata e sostenibile. Semplicissimo da configurare e usare. Lo ricomprerei senza dubbio.
69,2025-07-18,Tastiera meccanica KeyForge RGB,Elettronica,5,Top!,"Sono entusiasta. Ho contattato il supporto e hanno risolto subito. Autonomia eccellente, la ricarico raramente. Bel design, fa la sua figura. Cinque stelle meritate."
70,2025-04-06,Macchina per il pane HomeBaker,Casa,2,Mi aspettavo di più,"Un po' deluso, sinceramente. Ho contattato il supporto e hanno risolto subito. La scatola è arrivata ammaccata e mal imballata. Si trova di meglio allo stesso prezzo. Probabilmente non lo ricomprerei."
71,2025-03-19,Smartwatch FitPro 2,Elettronica,5,Eccellente,"Prodotto fantastico! La spedizione è stata velocissima, arrivato in un giorno. Imballaggio curato e prodotto ben protetto. Semplicissimo da configurare e usare. Consigliatissimo!"
72,2025-02-13,Frullatore ad alta velocità VitaBlend,Casa,4,Soddisfatto,"Buon prodotto. La spedizione è stata velocissima, arrivato in un giorno. Esteticamente deludente, sembra diverso dalle foto. Intuitivo fin da subito, nessun manuale necessario. Lo consiglio."
73,2024-09-28,Powerbank ChargeGo 20000mAh,Elettronica,5,Promosso a pieni voti,Prodotto fantastico! Semplicissimo da configurare e usare. Prestazioni ottime anche sotto sforzo. Confezione ordinata e sostenibile. Cinque stelle meritate.
74,2025-06-01,Aspirapolvere senza filo CicloneMax,Casa,3,Nella media,"Prodotto con luci e ombre. Imballaggio insufficiente, il prodotto ballava dentro la scatola. Esteticamente molto bello, design elegante. Così così."
75,2024-11-22,Aspirapolvere senza filo CicloneMax,Casa,5,Lo adoro,"Sono entusiasta. Materiali solidi e ben rifiniti. Esteticamente molto bello, design elegante. Semplicissimo da configurare e usare. Consigliatissimo!"
76,2024-12-22,Aspirapolvere senza filo CicloneMax,Casa,4,Consigliato,"Buon prodotto. In offerta è un vero affare. Imballaggio curato e prodotto ben protetto. Materiali scadenti, sembra un prodotto economico. Promosso, con piccole riserve."
77,2026-01-04,Tastiera meccanica KeyForge RGB,Elettronica,4,Buono,"Buon prodotto. Autonomia eccellente, la ricarico raramente. Imballaggio insufficiente, il prodotto ballava dentro la scatola. Ho contattato il supporto e hanno risolto subito. Buon acquisto."
78,2025-07-09,Zaino da trekking TrekLite 30L,Sport e tempo libero,5,Lo adoro,"Sono entusiasta. Consegna puntuale e nei tempi previsti. Intuitivo fin da subito, nessun manuale necessario. Esteticamente molto bello, design elegante. Cinque stelle meritate."
79,2025-04-03,Smartwatch FitPro 2,Elettronica,4,Soddisfatto,Buon prodotto. Durata della batteria molto inferiore a quanto dichiarato. Prestazioni ottime anche sotto sforzo. Confezione ordinata e sostenibile. Lo consiglio.
80,2025-09-10,Tastiera meccanica KeyForge RGB,Elettronica,4,Buono,"Nel complesso sono soddisfatto. Esteticamente molto bello, design elegante. Fa esattamente quello che promette, molto efficiente. Il prezzo non è giustificato dalla qualità. Promosso, con piccole riserve."
81,2025-09-26,Powerbank ChargeGo 20000mAh,Elettronica,3,Nella media,Esperienza nella media. Lento e poco reattivo nell'uso quotidiano. Assistenza clienti gentile e rapida nel rispondere. Così così.
82,2025-04-25,Aspirapolvere senza filo CicloneMax,Casa,1,Una delusione totale,"Esperienza da dimenticare. Troppo caro per quello che offre. Ho aspettato due settimane per la consegna, troppo. Imballaggio insufficiente, il prodotto ballava dentro la scatola. Soldi buttati."
83,2024-08-11,Tastiera meccanica KeyForge RGB,Elettronica,5,Top!,"Sono entusiasta. Prestazioni ottime anche sotto sforzo. Assistenza clienti gentile e rapida nel rispondere. Intuitivo fin da subito, nessun manuale necessario. Cinque stelle meritate."
84,2024-12-08,Scarpe da running AeroStep,Sport e tempo libero,1,Sconsigliato,"Pessima esperienza. Interfaccia confusionaria, ci ho messo ore a capirlo. Ho aspettato due settimane per la consegna, troppo. Assistenza clienti pessima, non rispondono alle email. Da evitare."
85,2025-09-29,Powerbank ChargeGo 20000mAh,Elettronica,4,Bel prodotto,"Buon prodotto. Imballaggio insufficiente, il prodotto ballava dentro la scatola. La spedizione è stata velocissima, arrivato in un giorno. Ho contattato il supporto e hanno risolto subito. Promosso, con piccole riserve."
86,2024-09-08,Smartwatch FitPro 2,Elettronica,4,Buono,"Nel complesso sono soddisfatto. Fa esattamente quello che promette, molto efficiente. Pacco arrivato prima del previsto, ottimo. Interfaccia confusionaria, ci ho messo ore a capirlo. Buon acquisto."
87,2025-12-12,Set lenzuola in cotone SoffiCotone,Casa,3,Si poteva fare meglio,"Esperienza nella media. Materiali scadenti, sembra un prodotto economico. Fa esattamente quello che promette, molto efficiente. Valutate bene prima di acquistare."
88,2026-01-16,Smartwatch FitPro 2,Elettronica,4,Consigliato,"Mi trovo bene. Materiali solidi e ben rifiniti. Assistenza clienti gentile e rapida nel rispondere. Configurazione complicata e istruzioni poco chiare. Promosso, con piccole riserve."
89,2024-07-25,Monitor UltraView 27 pollici,Elettronica,3,Insomma...,"Né carne né pesce. Consegna in ritardo e nessun aggiornamento sul tracciamento. Intuitivo fin da subito, nessun manuale necessario. Così così."
90,2024-09-19,Scarpe da running AeroStep,Sport e tempo libero,2,Deludente,"Non sono soddisfatto. Intuitivo fin da subito, nessun manuale necessario. Ho aspettato due settimane per la consegna, troppo. Troppo caro per quello che offre. Probabilmente non lo ricomprerei."
91,2024-10-03,Caffè in cialde Aroma Intenso (100 pz),Alimentari,5,Lo adoro,"Prodotto fantastico! Intuitivo fin da subito, nessun manuale necessario. Consegna puntuale e nei tempi previsti. Assistenza clienti gentile e rapida nel rispondere. Consigliatissimo!"
92,2024-11-06,Zaino da trekking TrekLite 30L,Sport e tempo libero,4,Consigliato,"Mi trovo bene. Materiali solidi e ben rifiniti. Prestazioni deludenti, molto al di sotto delle aspettative. Semplicissimo da configurare e usare. Lo consiglio."
93,2024-11-18,Tastiera meccanica KeyForge RGB,Elettronica,5,Top!,"Sono entusiasta. Fa esattamente quello che promette, molto efficiente. Assistenza clienti gentile e rapida nel rispondere. Semplicissimo da configurare e usare. Cinque stelle meritate."
94,2024-12-30,Smartwatch FitPro 2,Elettronica,2,Mi aspettavo di più,"Un po' deluso, sinceramente. Qualità costruttiva eccellente, si sente che è robusto. Il colore reale è diverso da quello mostrato online. Troppo caro per quello che offre. Deludente."
95,2026-02-13,Set lenzuola in cotone SoffiCotone,Casa,3,Si poteva fare meglio,Né carne né pesce. Materiali solidi e ben rifiniti. Si trova di meglio allo stesso prezzo. Dipende dalle vostre esigenze.
96,2024-11-18,Smartwatch FitPro 2,Elettronica,4,Buono,"Nel complesso sono soddisfatto. Ho contattato il supporto e hanno risolto subito. Plastica fragile, non lo ricomprerei. Intuitivo fin da subito, nessun manuale necessario. Buon acquisto."
97,2025-03-27,Caffè in cialde Aroma Intenso (100 pz),Alimentari,5,Lo adoro,Sono entusiasta. Prestazioni ottime anche sotto sforzo. Imballaggio curato e prodotto ben protetto. Ho contattato il supporto e hanno risolto subito. Lo ricomprerei senza dubbio.
98,2024-12-22,Smartwatch FitPro 2,Elettronica,2,Deludente,"Un po' deluso, sinceramente. Prestazioni ottime anche sotto sforzo. Imballaggio insufficiente, il prodotto ballava dentro la scatola. Consegna in ritardo e nessun aggiornamento sul tracciamento. Deludente."
99,2024-12-20,Frullatore ad alta velocità VitaBlend,Casa,3,Alti e bassi,"Prodotto con luci e ombre. Ho contattato il supporto e hanno risolto subito. Imballaggio insufficiente, il prodotto ballava dentro la scatola. Così così."
100,2024-12-08,Macchina per il pane HomeBaker,Casa,4,Buono,"Nel complesso sono soddisfatto. Ho contattato il supporto e hanno risolto subito. Funziona alla grande, prestazioni sopra le aspettative. Imballaggio insufficiente, il prodotto ballava dentro la scatola. Lo consiglio."
101,2024-09-05,Aspirapolvere senza filo CicloneMax,Casa,5,Lo adoro,"Acquisto azzeccato. Ho contattato il supporto e hanno risolto subito. Confezione ordinata e sostenibile. Bel design, fa la sua figura. Lo ricomprerei senza dubbio."
102,2025-05-13,Frullatore ad alta velocità VitaBlend,Casa,5,Eccellente,"Prodotto fantastico! Esteticamente molto bello, design elegante. Prezzo onesto per quello che offre. Qualità costruttiva eccellente, si sente che è robusto. Cinque stelle meritate."
103,2025-09-04,Zaino da trekking TrekLite 30L,Sport e tempo libero,5,Lo adoro,"Sono entusiasta. In offerta è un vero affare. Intuitivo fin da subito, nessun manuale necessario. Prestazioni ottime anche sotto sforzo. Lo ricomprerei senza dubbio."
104,2024-10-27,Powerbank ChargeGo 20000mAh,Elettronica,5,Eccellente,"Sono entusiasta. La batteria dura tantissimo, anche un paio di giorni. Semplicissimo da configurare e usare. Fa esattamente quello che promette, molto efficiente. Cinque stelle meritate."
105,2025-09-26,Frullatore ad alta velocità VitaBlend,Casa,2,Poco convincente,"Un po' deluso, sinceramente. Assistenza clienti pessima, non rispondono alle email. Funziona alla grande, prestazioni sopra le aspettative. Configurazione complicata e istruzioni poco chiare. Deludente."
106,2025-09-10,Aspirapolvere senza filo CicloneMax,Casa,5,Promosso a pieni voti,"Acquisto azzeccato. Esteticamente molto bello, design elegante. Intuitivo fin da subito, nessun manuale necessario. Confezione ordinata e sostenibile. Cinque stelle meritate."
107,2026-01-29,Aspirapolvere senza filo CicloneMax,Casa,3,Insomma...,Prodotto con luci e ombre. Si trova di meglio allo stesso prezzo. Confezione ordinata e sostenibile. Dipende dalle vostre esigenze.
108,2025-03-18,Set lenzuola in cotone SoffiCotone,Casa,4,Soddisfatto,"Buon prodotto. Esteticamente molto bello, design elegante. Interfaccia confusionaria, ci ho messo ore a capirlo. La spedizione è stata velocissima, arrivato in un giorno. Lo consiglio."
109,2026-01-09,Monitor UltraView 27 pollici,Elettronica,1,Una delusione totale,Pessima esperienza. Ho chiesto un rimborso ma il supporto è stato inutile. Lento e poco reattivo nell'uso quotidiano. Configurazione complicata e istruzioni poco chiare. Da evitare.
110,2025-11-29,Frullatore ad alta velocità VitaBlend,Casa,1,Sconsigliato,"Esperienza da dimenticare. Interfaccia confusionaria, ci ho messo ore a capirlo. Consegna in ritardo e nessun aggiornamento sul tracciamento. Plastica fragile, non lo ricomprerei. Da evitare."
111,2025-02-20,Powerbank ChargeGo 20000mAh,Elettronica,4,Consigliato,"Nel complesso sono soddisfatto. La scatola è arrivata ammaccata e mal imballata. Autonomia eccellente, la ricarico raramente. Ho contattato il supporto e hanno risolto subito. Promosso, con piccole riserve."
112,2024-08-07,Monitor UltraView 27 pollici,Elettronica,5,Lo adoro,"Sono entusiasta. Imballaggio curato e prodotto ben protetto. La batteria dura tantissimo, anche un paio di giorni. Ho contattato il supporto e hanno risolto subito. Consigliatissimo!"
113,2025-04-09,Aspirapolvere senza filo CicloneMax,Casa,5,Promosso a pieni voti,Sono entusiasta. Confezione ordinata e sostenibile. Prezzo onesto per quello che offre. Materiali solidi e ben rifiniti. Cinque stelle meritate.
114,2025-04-20,Frullatore ad alta velocità VitaBlend,Casa,1,Pessimo,"Esperienza da dimenticare. Interfaccia confusionaria, ci ho messo ore a capirlo. Consegna in ritardo e nessun aggiornamento sul tracciamento. La scatola è arrivata ammaccata e mal imballata. Mai più."
115,2024-12-28,Tastiera meccanica KeyForge RGB,Elettronica,4,Soddisfatto,"Buon prodotto. In offerta è un vero affare. Assistenza clienti pessima, non rispondono alle email. Semplicissimo da configurare e usare. Promosso, con piccole riserve."
116,2025-04-14,Frullatore ad alta velocità VitaBlend,Casa,3,Alti e bassi,"Prodotto con luci e ombre. Imballaggio curato e prodotto ben protetto. Interfaccia confusionaria, ci ho messo ore a capirlo. Dipende dalle vostre esigenze."
117,2024-10-17,Scarpe da running AeroStep,Sport e tempo libero,1,Una delusione totale,"Lo sconsiglio. Imballaggio insufficiente, il prodotto ballava dentro la scatola. La spedizione ha tardato parecchi giorni rispetto alla stima. Ho chiesto un rimborso ma il supporto è stato inutile. Da evitare."
118,2025-06-12,Scarpe da running AeroStep,Sport e tempo libero,4,Consigliato,"Buon prodotto. La scatola è arrivata ammaccata e mal imballata. Semplicissimo da configurare e usare. Ho contattato il supporto e hanno risolto subito. Promosso, con piccole riserve."
